id	surface	gloss	level
17682	국물	soup or broth or gravy	B
17683	국민	The people or  a nationality	B
17725	국민적	National or  for citizens	C
17763	국사	The history of a country	C
17767	국산	A country's product	C
17790	국수	Noodles	B
17803	국어	1) The national language or  2) Korean	B
17818	국왕	A king or  a monarch	C
17865	국적	Nationality or  citizenship	C
17875	국제	International	B
17999	국제선	International airline	C
18011	국제적	International	C
18025	국제화	Internationalization	C
18062	국회	The National Assembly	C
18070	국회의원	A member of the national Assembly	B
18078	군	Mr.	B
18079	군	An army	B
18080	군	A county or district	C
18131	군대	Troops or  an army	B
18153	군데	A place or spot	B
18192	군사	A soldier, a private (not sb giving orders)	C
18193	군사	Military affairs	C
18271	군인	Sb in the military	A
18365	굳다	Harden or  become hard	C
18376	굳어지다	Become hard	C
18381	굳이	Firmly or  admanantly	B
18383	굳히다	Harden or  make hard	C
18506	굵다	Be thick or  fat	B
18509	굶다	To starve or  go hungry	C
18539	굽다	To roast or bake	B
18572	굽히다	Bend or  stoop	C
18587	궁극적	Finally or in the end, 마지막으로, ultimately	C
18591	궁금하다	To wonder or  be curious about	B
18654	권	A volume or  a book	A
18693	권리	The ability to enforce a right or a claim to sth	C
18730	권위	1) Authority or  power  2) dignity or  prestige	C
18765	권투	Boxing or  K1	B
18774	권하다	1) advise or  persuade 2) recommend	B
18830	귀	Ear	A
18833	귀가	Returning home	C
18843	귀가하다	To return home	C
18862	귀국	Returning to one's home country	B
18866	귀국하다	To return to one's home country	B
18942	귀신	A ghost	C
18976	귀엽다	To be cute	B
19032	귀중하다	To be precious	C
19051	귀찮다	Annoying irksome	C
19071	귀하다	1) noble or  high  2) dear  3) lovable or  precious	C
19097	귓속	The inner ear	C
19113	규모	Scale or  scope or  structure	C
19138	규정	Provision or  stipulation, acc. to the 규칙	C
19165	규칙	Rules or  regulations	B
19180	규칙적	Be regular or  systematic	B
19256	균형	Balance or  equilibrium	C
19285	귤	A Jeju orange	C
19290	그	That	A
19291	그	He	A
19292	그간	the meantime, the interval	C
19294	그거	That thing	A
19297	그것	That thing	A
19336	그곳	That place	A
19343	그나마	Even though or  nevertheless	C
19345	그날	That day or  that same day	A
19350	그냥	Just because or  in that condition	B
19353	그녀	she	A
19356	그놈	That person or  that guy	C
19357	그늘	1) shade 2)parental prodection	B
19371	그다음	Next	B
19372	그다지	So much or  to that extent	B
19376	그대	You or  thou	C
19377	그대로	Like that	B
19383	그동안	During that time	A
19389	그때	Then or  at that time	A
19417	그래	So or  yes or  that's right	A
19418	그래	Yes or  that's right	A
19427	그래도	All the same	B
19431	그래서	And so accordingly	A
19432	그래서	So or  therefore	A
19434	그래야	And so or  and then	C
19443	그래픽	Graphic	C
19450	그램	Gram	B
19468	그러니까	And so it is that	A
19469	그러다	and so, and then, well	C
19470	그러다	and so, and then, well	C
19471	그러면	If so or  if that is the case	A
19477	그러므로	So or  hence or  therefore	B
19482	그러하다	To be so or  right	B
19487	그런	Such a	B
19496	그런대로	Such as it is or  anyways	C
19497	그런데	But or  however	A
19507	그럴듯하다	Be plausible or  specious or  likely	C
19511	그럼	Certainly or  of course.	A
19512	그럼	Interjection: “yeh or  that's right”	A
19518	그렇게	And so. like that	B
19526	그렇다	That is right or  yes.	A
19533	그렇지	So it is or  that is right	B
19537	그렇지만	But or  however	A
19562	그려지다	Draw	B
19575	그루	1) a root  2) stubble	C
19579	그룹	Group	B
19590	그릇	A vessel or  receptacle	A
19615	그리	So or to that extent, so much as	B
19617	그리고	And or  and then	A
19623	그리다	Picture or  draw a picture	A
19631	그리로	Over there	C
19706	그리움	Yearning or  affection	C
19709	그리워하다	Yearn or  be attached to	C
19714	그리하여	And then or  and so or  and now	C
19723	그림	A picture	A
19752	그림자	A shadow or  a sillheoute or  an image	B
19765	그립다	Beloved or  sweet or  affectionate	B
19766	그만	That much or  a little amount	B
